entrez_id,symbol,logFC,logCPM,LR,p_value,FDR
9703,KIAA0100,0.29202457,6.429664637,1.56559862,0.210847354,0.393191138
57538,ALPK3,0.678621427,1.651083951,1.565243064,0.210899183,0.393191138
55094,GPATCH1,0.413828393,3.308035946,1.565176727,0.210908855,0.393191138
23333,DPY19L1,0.531966083,7.369844112,1.56499916,0.210934746,0.393191138
286122,C8orf31,0.762590763,1.456186619,1.564362463,0.211027613,0.393191138
94239,H2AFV,0.305857839,8.909728561,1.564356391,0.211028499,0.393191138
622,BDH1,-0.46568178,6.443161187,1.564220248,0.211048363,0.393191138
23767,FLRT3,-0.876670964,2.91795622,1.564170635,0.211055602,0.393191138
9201,DCLK1,0.376599286,6.832825787,1.563454706,0.211160101,0.393329083
8569,MKNK1,-0.393072116,2.166708268,1.562138414,0.21135239,0.393604172
163126,EID2,-0.331111634,5.518140717,1.562026613,0.211368732,0.393604172
9557,CHD1L,-0.508147842,4.82774742,1.560483402,0.211594455,0.393967706
91664,ZNF845,1.036089364,3.699783351,1.558599571,0.211870388,0.394421333
57648,KIAA1522,-0.564031446,4.883386855,1.558403266,0.211899166,0.394421333
22981,NINL,-0.444317287,4.736024562,1.557653949,0.212009058,0.394569019
993,CDC25A,0.813218801,1.766748801,1.557199923,0.212075677,0.394636139
55605,KIF21A,-0.426023548,6.957866553,1.556834747,0.212129277,0.394679017
84948,TIGD5,0.61559207,4.142660469,1.555697134,0.212296356,0.394932988
85440,DOCK7,0.408056797,6.099463123,1.553936154,0.212555297,0.395357751
9836,LCMT2,-0.398628583,3.228533127,1.552097615,0.212826043,0.395804345
10952,SEC61B,0.363298366,7.116003956,1.551114941,0.212970921,0.395974615
57609,DIP2B,-0.469850053,6.424374535,1.550968081,0.212992583,0.395974615
8379,MAD1L1,0.35389955,5.522980517,1.550852915,0.213009572,0.395974615
63976,PRDM16,-0.776975942,2.391214888,1.549944635,0.213143614,0.396166776
90850,ZNF598,0.63416175,4.081381604,1.54970918,0.213178379,0.396170629
5277,PIGA,-0.389879294,3.582442048,1.549472473,0.213213335,0.396170629
57719,ANO8,0.643507569,1.677618562,1.549307469,0.213237706,0.396170629
220136,CFAP53,-0.501424755,3.040725332,1.548444275,0.213365255,0.396310268
100499183,BAALC-AS1,0.707339136,4.647680934,1.548383535,0.213374234,0.396310268
3001,GZMA,-0.839172222,1.380155748,1.547219902,0.213546328,0.396572879
83666,PARP9,0.618285754,5.766048425,1.5450635,0.213865684,0.397072579
